Candidate,Win Percentage,Date,LB,UB
Trump,0.18,2023-12-30,0.11086,0.25111
Biden,0.82,2023-12-30,0.75086,0.89111
Trump,0.17712,2023-12-31,0.10798,0.24823
Biden,0.82288,2023-12-31,0.75374,0.89399
Trump,0.1826,2024-01-01,0.11346,0.25371
Biden,0.8174,2024-01-01,0.74826,0.88851
Trump,0.19086,2024-01-02,0.12172,0.26197
Biden,0.80914,2024-01-02,0.74,0.88025
Trump,0.19734,2024-01-03,0.1282,0.26845
Biden,0.80266,2024-01-03,0.73352,0.87377
Trump,0.17514,2024-01-04,0.106,0.24625
Biden,0.82486,2024-01-04,0.75572,0.89597
Trump,0.18616,2024-01-05,0.11702,0.25727
Biden,0.81384,2024-01-05,0.7447,0.88495
Trump,0.16742,2024-01-06,0.1,0.23
Biden,0.83258,2024-01-06,0.76516,0.89516
Trump,0.18524,2024-01-07,0.12,0.27
Biden,0.81476,2024-01-07,0.74952,0.89952
Trump,0.16398,2024-01-08,0.1,0.24
Biden,0.83602,2024-01-08,0.77204,0.91204
Trump,0.2136,2024-01-09,0.13975,0.29025
Biden,0.7864,2024-01-09,0.71255,0.86305
Trump,0.20946,2024-01-10,0.14,0.3
Biden,0.79054,2024-01-10,0.72108,0.88108
Trump,0.2351,2024-01-11,0.15,0.31
Biden,0.7649,2024-01-11,0.6798,0.8398
Trump,0.18272,2024-01-12,0.11,0.26
Biden,0.81728,2024-01-12,0.74456,0.89456
Trump,0.13468,2024-01-13,0.07,0.2
Biden,0.86532,2024-01-13,0.80064,0.93064
Trump,0.13114,2024-01-14,0.06,0.2
Biden,0.86886,2024-01-14,0.79772,0.93772
Trump,0.1455,2024-01-15,0.09,0.22
Biden,0.8545,2024-01-15,0.799,0.929
Trump,0.14236,2024-01-16,0.08,0.21
Biden,0.85764,2024-01-16,0.79528,0.92528
Trump,0.14266,2024-01-17,0.08,0.21
Biden,0.85734,2024-01-17,0.79468,0.92468
Trump,0.13276,2024-01-18,0.07,0.2
Biden,0.86724,2024-01-18,0.80448,0.93448
Trump,0.10278,2024-01-19,0.05,0.17
Biden,0.89722,2024-01-19,0.84444,0.96444
Trump,0.10782,2024-01-20,0.05,0.17
Biden,0.89218,2024-01-20,0.83436,0.95436
Trump,0.09484,2024-01-21,0.04,0.16
Biden,0.90516,2024-01-21,0.85032,0.97032
Trump,0.10692,2024-01-22,0.05,0.17
Biden,0.89308,2024-01-22,0.83616,0.95616
Trump,0.1016,2024-01-23,0.05,0.16
Biden,0.8984,2024-01-23,0.8468,0.9568
Trump,0.1085,2024-01-24,0.05,0.17
Biden,0.8915,2024-01-24,0.833,0.953
Trump,0.10062,2024-01-25,0.05,0.17
Biden,0.89938,2024-01-25,0.84876,0.96876
Trump,0.11584,2024-01-26,0.05975,0.18
Biden,0.88416,2024-01-26,0.82807,0.94832
Trump,0.10784,2024-01-27,0.05,0.17
Biden,0.89216,2024-01-27,0.83432,0.95432
Trump,0.10244,2024-01-28,0.05,0.16
Biden,0.89756,2024-01-28,0.84512,0.95512
Trump,0.0954,2024-01-29,0.04,0.16
Biden,0.9046,2024-01-29,0.8492,0.9692
Trump,0.09266,2024-01-30,0.04,0.15
Biden,0.90734,2024-01-30,0.85468,0.96468
Trump,0.09708,2024-01-31,0.04,0.16
Biden,0.90292,2024-01-31,0.84584,0.96584
Trump,0.12518,2024-02-01,0.06975,0.2
Biden,0.87482,2024-02-01,0.81939,0.94964
Trump,0.17728,2024-02-02,0.11,0.27
Biden,0.82272,2024-02-02,0.75544,0.91544
Trump,0.22422,2024-02-03,0.15,0.32
Biden,0.77578,2024-02-03,0.70156,0.87156
Trump,0.24732,2024-02-04,0.16,0.34
Biden,0.75268,2024-02-04,0.66536,0.84536
Trump,0.25262,2024-02-05,0.17,0.34
Biden,0.74738,2024-02-05,0.66476,0.83476
Trump,0.22124,2024-02-06,0.14,0.3
Biden,0.77876,2024-02-06,0.69752,0.85752
Trump,0.23674,2024-02-07,0.16,0.32
Biden,0.76326,2024-02-07,0.68652,0.84652
Trump,0.25386,2024-02-08,0.17,0.34
Biden,0.74614,2024-02-08,0.66228,0.83228
Trump,0.2375,2024-02-09,0.15,0.33
Biden,0.7625,2024-02-09,0.675,0.855
Trump,0.21664,2024-02-10,0.14,0.3
Biden,0.78336,2024-02-10,0.70672,0.86672
Trump,0.23562,2024-02-11,0.15975,0.32
Biden,0.76438,2024-02-11,0.68851,0.84876
Trump,0.23598,2024-02-12,0.15,0.32
Biden,0.76402,2024-02-12,0.67804,0.84804
Trump,0.25582,2024-02-13,0.17,0.34
Biden,0.74418,2024-02-13,0.65836,0.82836
Trump,0.27722,2024-02-14,0.19,0.37
Biden,0.72278,2024-02-14,0.63556,0.81556
Trump,0.24148,2024-02-15,0.16,0.33
Biden,0.75852,2024-02-15,0.67704,0.84704
Trump,0.2325,2024-02-16,0.16,0.32
Biden,0.7675,2024-02-16,0.695,0.855
Trump,0.20884,2024-02-17,0.13,0.29025
Biden,0.79116,2024-02-17,0.71232,0.87257
Trump,0.2249,2024-02-18,0.15,0.31
Biden,0.7751,2024-02-18,0.7002,0.8602
Trump,0.21074,2024-02-19,0.13,0.3
Biden,0.78926,2024-02-19,0.70852,0.87852
Trump,0.2399,2024-02-20,0.16,0.32
Biden,0.7601,2024-02-20,0.6802,0.8402
Trump,0.23138,2024-02-21,0.15,0.31
Biden,0.76862,2024-02-21,0.68724,0.84724
Trump,0.25894,2024-02-22,0.18,0.34025
Biden,0.74106,2024-02-22,0.66212,0.82237
Trump,0.2521,2024-02-23,0.17,0.34
Biden,0.7479,2024-02-23,0.6658,0.8358
Trump,0.44476,2024-02-24,0.34,0.54
Biden,0.55524,2024-02-24,0.45048,0.65048
Trump,0.41602,2024-02-25,0.32,0.52
